Name,Brand,Categories,PrimaryCategories,Reviews.Date,Reviews.Text,Reviews.Title,Sentiment,Full_Review,Sentiment_Score,Sentiment_Category
Accessories Sony,Sony,Computers,Accessories,2024-01-12,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.56,Neutral
Tables Dell,Dell,Furniture,Tables,2024-10-22,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.34,Negative
Cleaning Bose,Bose,Appliances,Cleaning,2024-10-25,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.71,Positive
Gaming ASUS,ASUS,Computers,Gaming,2024-06-21,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.37,Negative
Gaming ASUS,ASUS,Computers,Gaming,2024-04-09,It's fine.,Average,Neutral,It's fine. Average,0.41,Neutral
Beds Amazon,Amazon,Furniture,Beds,2024-03-14,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.11,Negative
Gaming Bose,Bose,Computers,Gaming,2024-07-02,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.94,Positive
Phones Dell,Dell,Electronics,Phones,2024-04-07,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.94,Positive
Laundry Apple,Apple,Appliances,Laundry,2024-05-26,It's fine.,Average,Neutral,It's fine. Average,0.64,Neutral
Laundry Apple,Apple,Appliances,Laundry,2024-05-22,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.75,Positive
Gaming Sony,Sony,Computers,Gaming,2024-09-22,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.59,Neutral
Tables HP,HP,Furniture,Tables,2024-06-02,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.9,Positive
Gaming Amazon,Amazon,Computers,Gaming,2024-03-04,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.82,Positive
Earphones LG,LG,Audio,Earphones,2024-04-22,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.95,Positive
Phones Sony,Sony,Electronics,Phones,2024-01-24,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.61,Neutral
Microphones ASUS,ASUS,Audio,Microphones,2024-08-04,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.44,Neutral
Laptops Amazon,Amazon,Computers,Laptops,2024-05-19,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.94,Positive
Gaming Amazon,Amazon,Computers,Gaming,2024-01-15,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.11,Negative
Earphones Amazon,Amazon,Audio,Earphones,2024-04-29,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.9,Positive
Microphones ASUS,ASUS,Audio,Microphones,2024-05-08,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.05,Negative
Earphones Amazon,Amazon,Audio,Earphones,2024-07-07,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.82,Positive
Phones Amazon,Amazon,Electronics,Phones,2024-01-22,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.59,Neutral
Laundry Dell,Dell,Appliances,Laundry,2024-05-05,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.48,Neutral
Earphones Apple,Apple,Audio,Earphones,2024-03-30,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.95,Positive
Tables Apple,Apple,Furniture,Tables,2024-09-28,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.24,Negative
Laptops Apple,Apple,Computers,Laptops,2024-08-28,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.31,Negative
Gaming HP,HP,Computers,Gaming,2024-10-21,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.72,Positive
Earphones Bose,Bose,Audio,Earphones,2024-10-09,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.29,Negative
Gaming Apple,Apple,Computers,Gaming,2024-03-26,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.74,Positive
Laundry Amazon,Amazon,Appliances,Laundry,2024-08-21,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.99,Positive
Cleaning LG,LG,Appliances,Cleaning,2024-03-12,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.5,Neutral
Beds ASUS,ASUS,Furniture,Beds,2024-06-30,It's fine.,Average,Neutral,It's fine. Average,0.51,Neutral
Laundry Amazon,Amazon,Appliances,Laundry,2024-09-18,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.19,Negative
Gaming Sony,Sony,Computers,Gaming,2024-02-26,It's fine.,Average,Neutral,It's fine. Average,0.43,Neutral
Microphones Bose,Bose,Audio,Microphones,2024-04-16,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.47,Neutral
Laptops LG,LG,Computers,Laptops,2024-05-12,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.49,Neutral
Smart Devices ASUS,ASUS,Electronics,Smart Devices,2024-06-05,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.48,Neutral
Phones Bose,Bose,Electronics,Phones,2024-06-10,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.15,Negative
Speakers HP,HP,Audio,Speakers,2024-04-11,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.51,Neutral
Microphones HP,HP,Audio,Microphones,2024-09-20,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.57,Neutral
Microphones LG,LG,Audio,Microphones,2024-10-26,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.43,Neutral
Cameras Amazon,Amazon,Electronics,Cameras,2024-06-11,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.72,Positive
Kitchen Bose,Bose,Appliances,Kitchen,2024-06-02,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.53,Neutral
Laptops Dell,Dell,Computers,Laptops,2024-10-31,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.48,Neutral
Laundry Samsung,Samsung,Appliances,Laundry,2024-07-26,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.94,Positive
Chairs ASUS,ASUS,Furniture,Chairs,2024-01-17,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.68,Neutral
Microphones HP,HP,Audio,Microphones,2024-10-24,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.38,Negative
Earphones HP,HP,Audio,Earphones,2024-09-16,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.51,Neutral
Smart Devices Sony,Sony,Electronics,Smart Devices,2024-06-26,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.49,Neutral
Speakers Sony,Sony,Audio,Speakers,2024-05-22,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.36,Negative
Laundry Sony,Sony,Appliances,Laundry,2024-03-23,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.04,Negative
Laptops HP,HP,Computers,Laptops,2024-07-06,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.93,Positive
Phones Samsung,Samsung,Electronics,Phones,2024-07-12,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.24,Negative
Kitchen Dell,Dell,Appliances,Kitchen,2024-10-28,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.76,Positive
Beds Samsung,Samsung,Furniture,Beds,2024-07-21,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.54,Neutral
Microphones Bose,Bose,Audio,Microphones,2024-01-15,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.84,Positive
Beds Dell,Dell,Furniture,Beds,2024-04-14,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.2,Negative
Phones Dell,Dell,Electronics,Phones,2024-07-01,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.15,Negative
Kitchen HP,HP,Appliances,Kitchen,2024-02-03,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.73,Positive
Speakers Dell,Dell,Audio,Speakers,2024-05-19,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.41,Neutral
Gaming ASUS,ASUS,Computers,Gaming,2024-11-15,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.06,Negative
Cameras LG,LG,Electronics,Cameras,2024-04-05,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.85,Positive
Microphones Bose,Bose,Audio,Microphones,2024-01-03,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.17,Negative
Beds Sony,Sony,Furniture,Beds,2024-05-04,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.18,Negative
Cameras Apple,Apple,Electronics,Cameras,2024-03-30,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.63,Neutral
Laundry HP,HP,Appliances,Laundry,2024-09-11,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,1.0,Positive
Cameras Sony,Sony,Electronics,Cameras,2024-02-02,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.04,Negative
Beds Dell,Dell,Furniture,Beds,2024-09-27,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.04,Negative
Speakers HP,HP,Audio,Speakers,2024-11-16,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.23,Negative
Gaming Amazon,Amazon,Computers,Gaming,2024-02-23,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.95,Positive
Smart Devices Samsung,Samsung,Electronics,Smart Devices,2024-04-02,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.26,Negative
Cameras Amazon,Amazon,Electronics,Cameras,2024-07-03,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.62,Neutral
Cameras Sony,Sony,Electronics,Cameras,2024-03-08,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.33,Negative
Phones Samsung,Samsung,Electronics,Phones,2024-06-16,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.83,Positive
Cameras Amazon,Amazon,Electronics,Cameras,2024-05-21,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.78,Positive
Smart Devices LG,LG,Electronics,Smart Devices,2024-06-02,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.77,Positive
Laptops Bose,Bose,Computers,Laptops,2024-07-25,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.81,Positive
Chairs Samsung,Samsung,Furniture,Chairs,2024-09-15,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.64,Neutral
Laundry Amazon,Amazon,Appliances,Laundry,2024-06-20,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,1.0,Positive
Tables Samsung,Samsung,Furniture,Tables,2024-08-25,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.79,Positive
Gaming Apple,Apple,Computers,Gaming,2024-03-18,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.99,Positive
Smart Devices ASUS,ASUS,Electronics,Smart Devices,2024-09-28,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.81,Positive
Laundry Samsung,Samsung,Appliances,Laundry,2024-05-20,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.97,Positive
Beds Samsung,Samsung,Furniture,Beds,2024-10-17,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.01,Negative
Chairs ASUS,ASUS,Furniture,Chairs,2024-07-22,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.5,Neutral
Speakers Dell,Dell,Audio,Speakers,2024-03-30,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.48,Neutral
Laptops Sony,Sony,Computers,Laptops,2024-06-15,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.7,Positive
Smart Devices LG,LG,Electronics,Smart Devices,2024-05-08,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.97,Positive
Smart Devices Samsung,Samsung,Electronics,Smart Devices,2024-09-09,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.18,Negative
Chairs Amazon,Amazon,Furniture,Chairs,2024-07-24,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.91,Positive
Accessories Bose,Bose,Computers,Accessories,2024-07-30,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.26,Negative
Microphones Amazon,Amazon,Audio,Microphones,2024-05-03,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.08,Negative
Kitchen ASUS,ASUS,Appliances,Kitchen,2024-11-07,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.82,Positive
Laptops Amazon,Amazon,Computers,Laptops,2024-09-10,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.14,Negative
Laundry Samsung,Samsung,Appliances,Laundry,2024-04-16,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.83,Positive
Gaming ASUS,ASUS,Computers,Gaming,2024-02-09,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.66,Neutral
Cameras Amazon,Amazon,Electronics,Cameras,2024-11-22,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.73,Positive
Microphones Sony,Sony,Audio,Microphones,2024-08-06,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.06,Negative
Phones Apple,Apple,Electronics,Phones,2024-11-01,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.05,Negative
Gaming HP,HP,Computers,Gaming,2024-06-26,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.36,Negative
Beds Apple,Apple,Furniture,Beds,2024-09-16,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.94,Positive
Kitchen LG,LG,Appliances,Kitchen,2024-06-17,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.89,Positive
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-05-02,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.28,Negative
Accessories Apple,Apple,Computers,Accessories,2024-06-15,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.68,Neutral
Speakers Bose,Bose,Audio,Speakers,2024-01-28,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.44,Neutral
Earphones Amazon,Amazon,Audio,Earphones,2024-08-21,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.83,Positive
Cameras Dell,Dell,Electronics,Cameras,2024-10-01,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.68,Neutral
Earphones Dell,Dell,Audio,Earphones,2024-02-03,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.34,Negative
Cameras Bose,Bose,Electronics,Cameras,2024-03-11,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.11,Negative
Microphones ASUS,ASUS,Audio,Microphones,2024-03-31,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.45,Neutral
Earphones Amazon,Amazon,Audio,Earphones,2024-08-07,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.79,Positive
Gaming Sony,Sony,Computers,Gaming,2024-05-13,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.49,Neutral
Cameras HP,HP,Electronics,Cameras,2024-01-13,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.84,Positive
Laundry Amazon,Amazon,Appliances,Laundry,2024-07-17,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.63,Neutral
Smart Devices Sony,Sony,Electronics,Smart Devices,2024-08-10,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.81,Positive
Gaming Samsung,Samsung,Computers,Gaming,2024-02-01,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.7,Positive
Earphones HP,HP,Audio,Earphones,2024-01-23,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.17,Negative
Speakers Apple,Apple,Audio,Speakers,2024-01-05,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.16,Negative
Microphones Bose,Bose,Audio,Microphones,2024-09-25,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.25,Negative
Smart Devices HP,HP,Electronics,Smart Devices,2024-07-08,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.67,Neutral
Gaming Amazon,Amazon,Computers,Gaming,2024-05-04,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.83,Positive
Cameras Dell,Dell,Electronics,Cameras,2024-04-15,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.77,Positive
Accessories Apple,Apple,Computers,Accessories,2024-11-23,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.99,Positive
Earphones Bose,Bose,Audio,Earphones,2024-02-24,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.69,Neutral
Kitchen Sony,Sony,Appliances,Kitchen,2024-03-30,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.96,Positive
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-10-12,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.31,Negative
Tables Bose,Bose,Furniture,Tables,2024-05-03,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.11,Negative
Laptops ASUS,ASUS,Computers,Laptops,2024-01-11,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.13,Negative
Earphones Bose,Bose,Audio,Earphones,2024-04-03,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.64,Neutral
Cleaning Samsung,Samsung,Appliances,Cleaning,2024-07-17,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.62,Neutral
Cleaning HP,HP,Appliances,Cleaning,2024-05-24,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.41,Neutral
Smart Devices Bose,Bose,Electronics,Smart Devices,2024-04-13,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.86,Positive
Laundry HP,HP,Appliances,Laundry,2024-07-16,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.97,Positive
Laundry Sony,Sony,Appliances,Laundry,2024-05-02,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.74,Positive
Beds Sony,Sony,Furniture,Beds,2024-02-23,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.48,Neutral
Cleaning Samsung,Samsung,Appliances,Cleaning,2024-10-03,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.33,Negative
Gaming Bose,Bose,Computers,Gaming,2024-06-06,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.34,Negative
Microphones Bose,Bose,Audio,Microphones,2024-03-10,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.57,Neutral
Laptops HP,HP,Computers,Laptops,2024-05-04,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.24,Negative
Microphones Bose,Bose,Audio,Microphones,2024-03-12,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.41,Neutral
Laundry LG,LG,Appliances,Laundry,2024-03-11,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.58,Neutral
Cleaning ASUS,ASUS,Appliances,Cleaning,2024-04-21,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.65,Neutral
Kitchen Amazon,Amazon,Appliances,Kitchen,2024-10-28,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.56,Neutral
Speakers Samsung,Samsung,Audio,Speakers,2024-04-11,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.57,Neutral
Beds Sony,Sony,Furniture,Beds,2024-10-26,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.74,Positive
Microphones Apple,Apple,Audio,Microphones,2024-01-07,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.25,Negative
Tables ASUS,ASUS,Furniture,Tables,2024-05-30,It's fine.,It's okay,Neutral,It's fine. It's okay,0.56,Neutral
Microphones Apple,Apple,Audio,Microphones,2024-08-23,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.07,Negative
Speakers Sony,Sony,Audio,Speakers,2024-03-06,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.04,Negative
Chairs Bose,Bose,Furniture,Chairs,2024-08-20,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.01,Negative
Tables ASUS,ASUS,Furniture,Tables,2024-08-28,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.67,Neutral
Cameras Amazon,Amazon,Electronics,Cameras,2024-05-03,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.75,Positive
Cameras Samsung,Samsung,Electronics,Cameras,2024-07-30,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.0,Negative
Accessories LG,LG,Computers,Accessories,2024-05-24,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.46,Neutral
Cleaning Dell,Dell,Appliances,Cleaning,2024-08-19,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.77,Positive
Chairs HP,HP,Furniture,Chairs,2024-11-01,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.61,Neutral
Kitchen Apple,Apple,Appliances,Kitchen,2024-08-31,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.65,Neutral
Smart Devices Bose,Bose,Electronics,Smart Devices,2024-07-04,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.51,Neutral
Tables Bose,Bose,Furniture,Tables,2024-03-29,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.25,Negative
Phones LG,LG,Electronics,Phones,2024-09-02,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.96,Positive
Laptops Apple,Apple,Computers,Laptops,2024-02-18,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.97,Positive
Microphones Amazon,Amazon,Audio,Microphones,2024-04-04,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.04,Negative
Beds Bose,Bose,Furniture,Beds,2024-10-02,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.37,Negative
Speakers LG,LG,Audio,Speakers,2024-08-05,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.16,Negative
Speakers Samsung,Samsung,Audio,Speakers,2024-07-14,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.71,Positive
Speakers Samsung,Samsung,Audio,Speakers,2024-07-03,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.27,Negative
Smart Devices LG,LG,Electronics,Smart Devices,2024-06-07,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.54,Neutral
Kitchen ASUS,ASUS,Appliances,Kitchen,2024-01-30,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.27,Negative
Microphones HP,HP,Audio,Microphones,2024-01-04,It's fine.,It's okay,Neutral,It's fine. It's okay,0.55,Neutral
Phones LG,LG,Electronics,Phones,2024-04-06,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.55,Neutral
Tables Bose,Bose,Furniture,Tables,2024-06-06,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.07,Negative
Laundry Bose,Bose,Appliances,Laundry,2024-06-10,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.65,Neutral
Tables Bose,Bose,Furniture,Tables,2024-04-26,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.25,Negative
Kitchen HP,HP,Appliances,Kitchen,2024-05-17,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.14,Negative
Microphones Samsung,Samsung,Audio,Microphones,2024-05-02,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.4,Neutral
Accessories ASUS,ASUS,Computers,Accessories,2024-10-05,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.85,Positive
Smart Devices Sony,Sony,Electronics,Smart Devices,2024-06-26,Exceeded expectations.,Great Product,Positive,Exceeded expectations. Great Product,0.81,Positive
Speakers Dell,Dell,Audio,Speakers,2024-11-21,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.72,Positive
Cameras LG,LG,Electronics,Cameras,2024-05-19,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.6,Neutral
Earphones HP,HP,Audio,Earphones,2024-05-22,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.84,Positive
Accessories Apple,Apple,Computers,Accessories,2024-05-17,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.77,Positive
Microphones Dell,Dell,Audio,Microphones,2024-05-24,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.63,Neutral
Cameras Sony,Sony,Electronics,Cameras,2024-08-23,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.51,Neutral
Kitchen Apple,Apple,Appliances,Kitchen,2024-05-11,Not worth the price.,Disappointing,Negative,Not worth the price. Disappointing,0.18,Negative
Phones Dell,Dell,Electronics,Phones,2024-11-02,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.73,Positive
Gaming Dell,Dell,Computers,Gaming,2024-06-28,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.41,Neutral
Accessories Amazon,Amazon,Computers,Accessories,2024-10-30,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.79,Positive
Gaming HP,HP,Computers,Gaming,2024-04-07,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.12,Negative
Beds Amazon,Amazon,Furniture,Beds,2024-07-21,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.84,Positive
Smart Devices LG,LG,Electronics,Smart Devices,2024-04-05,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.13,Negative
Cleaning Sony,Sony,Appliances,Cleaning,2024-04-20,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.74,Positive
Phones LG,LG,Electronics,Phones,2024-02-21,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.91,Positive
Chairs Apple,Apple,Furniture,Chairs,2024-04-23,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.95,Positive
Phones ASUS,ASUS,Electronics,Phones,2024-09-11,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.7,Positive
Laptops Apple,Apple,Computers,Laptops,2024-11-15,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.71,Positive
Phones Bose,Bose,Electronics,Phones,2024-07-05,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.52,Neutral
Accessories Dell,Dell,Computers,Accessories,2024-01-18,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.57,Neutral
Gaming Dell,Dell,Computers,Gaming,2024-04-03,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.88,Positive
Cameras LG,LG,Electronics,Cameras,2024-01-29,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.12,Negative
